"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"1","Aceria cephalonea",Aceria cephaloneus,NA,Animalia,NA, 4544485
"2","Aceria macrorhyncha",Aceria macrorhynchus,NA,Animalia,NA, 4544601
"3","Aceria tenella",Aceria tenellus,NA,Animalia,NA, 4544650
"4","Aesculus × carnea",Aesculus carnea,NA,Plantae,NA, 3189809
"5","Andricus lignicola",Andricus lignicolus,NA,Animalia,NA, 4497054
"6","Apis mellifera ",Apis mellifera,NA,Animalia,NA, 1341976
"7","Asciodema obsoletum",Asciodema obsoleta,NA,Animalia,NA, 4488676
"8","Atropa belladonna",Atropa bella-donna,NA,Plantae,NA, 2928893
"9","Bombus (Thoracobombus) muscorum",Bombus muscorum,NA,Animalia,NA, 1340286
"10","Brassica rapa subsp. chinensis",Brassica rapa,NA,Plantae,NA, 7903057
"11","Calluna_vulgaris",Calluna vulgaris,NA,Plantae,NA, 2882482
"12","Canna x generalis",Canna generalis,NA,Plantae,NA, 9442731
"13","Centrotus cornutus",Centrotus cornuta,NA,Animalia,NA, 2024221
"14","Chrysotoxum bicinctum",Chrysotoxum bicincta,NA,Animalia,NA, 1536009
"15","Colletes (Colletes) hederae",Colletes hederae,NA,Animalia,NA, 1348914
"16","Compsidolon (Coniortodes) salicellum",Compsidolon salicellum,NA,Animalia,NA, 2011339
"17","Cotoneaster franchetii?",Cotoneaster franchetii,NA,Plantae,NA, 3026162
"18","Cryptomyzus (Cryptomyzus) ribis",Cryptomyzus ribis,NA,Animalia,NA, 2075749
"19","Deporaus (Deporaus) betulae",Deporaus betulae,NA,Animalia,NA, 7716051
"20","Derephysia (Derephysia) foliacea",Derephysia foliacea,NA,Animalia,NA, 4489029
"21","Encyonema silesacum",Encyonema silesiacum,NA,Chromista,NA,10160367
"22","Eristalis tenax?",Eristalis tenax,NA,Animalia,NA, 1541217
"23","Euscelis incisus",Euscelis incisa,NA,Animalia,NA, 8929628
"24","Fragaria ananassa ex",Fragaria ananassa,NA,Plantae,NA, 3029912
"25","Galactites tomentosus",Galactites tomentosa,NA,Plantae,NA, 3137579
"26","Hylobius (Callirus) abietis",Hylobius abietis,NA,Animalia,NA, 7805462
"27","Laodelphax striatella",Laodelphax striatellus,NA,Animalia,NA, 4489285
"28","Lenzites betulina",Lenzites betulinus,NA,Fungi,NA, 5465199
"29","Leontopodium nivale ex",Leontopodium nivale,NA,Plantae,NA, 3140685
"30","Melanostoma mellinum",Melanostoma mellina,NA,Animalia,NA, 5766554
"31","Nematus (Kontuniemiana) ribesii",Nematus ribesii,NA,Animalia,NA, 1249702
"32","Orthotylus (Orthotylus) flavinervis",Orthotylus flavinervis,NA,Animalia,NA, 4488064
"33","Orthotylus (Orthotylus) marginalis",Orthotylus marginalis,NA,Animalia,NA, 4488058
"34","Otiorhynchus (Dorymerus) singularis",Otiorhynchus singularis,NA,Animalia,NA, 1194979
"35","Partheolecanium corni",Parthenolecanium corni,NA,Animalia,NA, 4484527
"36","Persicaria amphibium",Persicaria amphibia,NA,Plantae,NA, 6391648
"37","Podops inuncta",Podops inunctus,NA,Animalia,NA, 4485704
"38","Polygonum plebejum",Polygonum plebeium,NA,Plantae,NA, 5334440
"39","Polymerus nigrita",Polymerus nigritus,NA,Animalia,NA, 8166399
"40","Psallus (Mesopsallus) ambiguus",Psallus ambiguus,NA,Animalia,NA, 8179641
"41","Psallus (Psallus) salicis",Psallus salicis,NA,Animalia,NA, 4488693
"42","Rhingia (Rhingia) campestris",Rhingia campestris,NA,Animalia,NA, 1537412
"43","Scaeva pyrastri?",Scaeva pyrastri,NA,Animalia,NA, 1537719
"44","Scolytus ratzeburgi",Scolytus ratzeburgii,NA,Animalia,NA, 1189386
"45","Sphaerophoria rueppelli",Sphaerophoria rueppellii,NA,Animalia,NA, 4516745
"46","Spiraea nipponica?",Spiraea nipponica,NA,Plantae,NA, 3027341
"47","Stenacis triradiata",Stenacis triradiatus,NA,Animalia,NA, 4544890
"48","Taraxacum offcinale",Taraxacum officinale,NA,Plantae,NA, 5394163
"49","Trachys minuta",Trachys minutus,NA,Animalia,NA, 5878482
"50","Tripleurospermum maritima",Tripleurospermum maritimum,NA,Plantae,NA, 3104173
"51","Uleiota planata",Uleiota planatus,NA,Animalia,NA, 6993114
"52","Ulex_minor",Ulex minor,NA,Plantae,NA, 2951968
"53","Vaccinium macrocarpon",Vaccinium macrocarpum,NA,Plantae,NA, 7777960
"54","Veronicastrum virgnicum",Veronicastrum virginicum,NA,Plantae,NA, 3172206
"55","Yponomeuta cagnagella",Yponomeuta cagnagellus,NA,Animalia,NA, 4525369
